               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/TARGET_mAP,metrics/TARGET_mAP_50
                   0,             0.11821,            0.054978,                   0,           0.0076829,             0.11392,           0.0088067,           0.0016629,             0.11478,            0.033807,                   0,               0.091,               0.001,               0.001,           0.0016629,           0.0088067
                   1,             0.10727,            0.058394,                   0,            0.062633,            0.088608,             0.02257,           0.0051826,             0.10377,            0.031798,                   0,            0.081058,           0.0020584,           0.0020584,           0.0051826,             0.02257
                   2,            0.097584,            0.067071,                   0,             0.11256,              0.2296,            0.073098,            0.019363,             0.10039,            0.027098,                   0,            0.071073,           0.0030733,           0.0030733,            0.019363,            0.073098
                   3,            0.087696,             0.06071,                   0,             0.42486,             0.48101,             0.30556,            0.072598,            0.090358,            0.037565,                   0,            0.061045,           0.0040446,           0.0040446,            0.072598,             0.30556
                   4,            0.084181,            0.059101,                   0,             0.25637,             0.50633,              0.2892,            0.084475,            0.085533,            0.034679,                   0,            0.050972,           0.0049723,           0.0049723,            0.084475,              0.2892
                   5,            0.078385,            0.059857,                   0,             0.19498,             0.44304,             0.13995,            0.033283,            0.089879,            0.027619,                   0,            0.040857,           0.0058565,           0.0058565,            0.033283,             0.13995
                   6,             0.07485,            0.059244,                   0,             0.55493,              0.5443,             0.54647,             0.13682,              0.0808,            0.028557,                   0,            0.030697,           0.0066971,           0.0066971,             0.13682,             0.54647
                   7,            0.072496,            0.054273,                   0,             0.18195,             0.33507,             0.14988,            0.038156,            0.086593,            0.025142,                   0,            0.020494,           0.0074942,           0.0074942,            0.038156,             0.14988
                   8,            0.072657,            0.061119,                   0,              0.1895,             0.56962,             0.15236,            0.045217,             0.08451,             0.02599,                   0,            0.010248,           0.0082477,           0.0082477,            0.045217,             0.15236
                   9,            0.071418,            0.057073,                   0,             0.14366,             0.58228,             0.14345,            0.034223,            0.085923,            0.026795,                   0,            0.008218,            0.008218,            0.008218,            0.034223,             0.14345
                  10,            0.067604,            0.055796,                   0,             0.21624,             0.68354,             0.24436,            0.061539,            0.084982,            0.022966,                   0,            0.008218,            0.008218,            0.008218,            0.061539,             0.24436
                  11,            0.065419,            0.056678,                   0,              0.3395,             0.67089,             0.43268,             0.12654,            0.072774,            0.028752,                   0,             0.00802,             0.00802,             0.00802,             0.12654,             0.43268
                  12,            0.061232,            0.056425,                   0,             0.41447,             0.72581,             0.45002,             0.19778,            0.069459,            0.024716,                   0,            0.007822,            0.007822,            0.007822,             0.19778,             0.45002
                  13,            0.060307,            0.054861,                   0,             0.49254,             0.71261,             0.57288,             0.25864,            0.060133,            0.020754,                   0,            0.007624,            0.007624,            0.007624,             0.25864,             0.57288
                  14,            0.056525,            0.049113,                   0,             0.35704,             0.74684,             0.41349,             0.12429,            0.073356,            0.023487,                   0,            0.007426,            0.007426,            0.007426,             0.12429,             0.41349
                  15,            0.056482,             0.05452,                   0,              0.6307,             0.77827,             0.73207,             0.34354,            0.053262,            0.022736,                   0,            0.007228,            0.007228,            0.007228,             0.34354,             0.73207
                  16,            0.055294,            0.047645,                   0,             0.70772,             0.75949,             0.74678,             0.36509,            0.052295,            0.020529,                   0,             0.00703,             0.00703,             0.00703,             0.36509,             0.74678
                  17,            0.055587,            0.053116,                   0,              0.8048,             0.73418,             0.74233,             0.31145,            0.058596,             0.01888,                   0,            0.006832,            0.006832,            0.006832,             0.31145,             0.74233
                  18,            0.050347,            0.051331,                   0,             0.67225,             0.67509,             0.69042,             0.24417,            0.059972,             0.01898,                   0,            0.006634,            0.006634,            0.006634,             0.24417,             0.69042
                  19,            0.049755,            0.044962,                   0,             0.83826,             0.73418,             0.73714,             0.24801,            0.060436,            0.017687,                   0,            0.006436,            0.006436,            0.006436,             0.24801,             0.73714
                  20,             0.04904,            0.045572,                   0,             0.81998,             0.69193,             0.71126,             0.22827,            0.061373,            0.017701,                   0,            0.006238,            0.006238,            0.006238,             0.22827,             0.71126
                  21,            0.048661,            0.048568,                   0,             0.72559,             0.70292,             0.67276,             0.20334,            0.057847,            0.017118,                   0,             0.00604,             0.00604,             0.00604,             0.20334,             0.67276
                  22,            0.047724,            0.051708,                   0,             0.76839,             0.67195,             0.66646,             0.20842,            0.060708,            0.017066,                   0,            0.005842,            0.005842,            0.005842,             0.20842,             0.66646
                  23,            0.047891,            0.055207,                   0,             0.93463,             0.82278,             0.84489,             0.36774,            0.047444,            0.016903,                   0,            0.005644,            0.005644,            0.005644,             0.36774,             0.84489
                  24,            0.046772,            0.048283,                   0,             0.90285,             0.82278,             0.85475,             0.42716,            0.045268,            0.016074,                   0,            0.005446,            0.005446,            0.005446,             0.42716,             0.85475
                  25,            0.045928,            0.048846,                   0,             0.91194,             0.79747,             0.81924,             0.32689,             0.04884,            0.015994,                   0,            0.005248,            0.005248,            0.005248,             0.32689,             0.81924
                  26,            0.042907,            0.046936,                   0,             0.84427,             0.75949,             0.77922,             0.28558,            0.054282,            0.016888,                   0,             0.00505,             0.00505,             0.00505,             0.28558,             0.77922
                  27,            0.043329,            0.045811,                   0,             0.89426,             0.78481,             0.79862,             0.27394,            0.053299,            0.016895,                   0,            0.004852,            0.004852,            0.004852,             0.27394,             0.79862
                  28,            0.043284,            0.046672,                   0,             0.88699,             0.77215,             0.82336,             0.30467,            0.051766,             0.01696,                   0,            0.004654,            0.004654,            0.004654,             0.30467,             0.82336
                  29,             0.04298,            0.045182,                   0,             0.93438,             0.79747,             0.83762,             0.32233,             0.05069,            0.015795,                   0,            0.004456,            0.004456,            0.004456,             0.32233,             0.83762
                  30,             0.04102,            0.044874,                   0,             0.87987,             0.74176,             0.76391,             0.28821,            0.054543,            0.015809,                   0,            0.004258,            0.004258,            0.004258,             0.28821,             0.76391
                  31,            0.042156,            0.044108,                   0,             0.92888,             0.82668,             0.85041,             0.35631,            0.047303,            0.015608,                   0,             0.00406,             0.00406,             0.00406,             0.35631,             0.85041
                  32,            0.040646,            0.048204,                   0,             0.93504,             0.82278,             0.84659,             0.36504,            0.046193,            0.015633,                   0,            0.003862,            0.003862,            0.003862,             0.36504,             0.84659
                  33,            0.040695,            0.044194,                   0,             0.90234,             0.82278,             0.82095,             0.35977,            0.048434,            0.015778,                   0,            0.003664,            0.003664,            0.003664,             0.35977,             0.82095
                  34,            0.038803,            0.042878,                   0,             0.89796,             0.77979,             0.81947,              0.2874,            0.051572,            0.016138,                   0,            0.003466,            0.003466,            0.003466,              0.2874,             0.81947
                  35,            0.039488,            0.043557,                   0,             0.91588,             0.79747,             0.81815,             0.32385,            0.049328,            0.015831,                   0,            0.003268,            0.003268,            0.003268,             0.32385,             0.81815
                  36,            0.039502,            0.042429,                   0,             0.84725,             0.73418,             0.73366,             0.23423,            0.054545,            0.016094,                   0,             0.00307,             0.00307,             0.00307,             0.23423,             0.73366
                  37,            0.039177,            0.043485,                   0,             0.92643,             0.79697,             0.81966,             0.35712,            0.046414,            0.015721,                   0,            0.002872,            0.002872,            0.002872,             0.35712,             0.81966
                  38,              0.0367,            0.043832,                   0,             0.91137,             0.83544,             0.86014,             0.38208,            0.045768,            0.015798,                   0,            0.002674,            0.002674,            0.002674,             0.38208,             0.86014
                  39,            0.038366,            0.042918,                   0,             0.90133,             0.81013,             0.84168,              0.3532,            0.046774,            0.015766,                   0,            0.002476,            0.002476,            0.002476,              0.3532,             0.84168
                  40,            0.036597,            0.043562,                   0,             0.94097,             0.80717,             0.84304,             0.35556,            0.046293,            0.015731,                   0,            0.002278,            0.002278,            0.002278,             0.35556,             0.84304
                  41,            0.038698,            0.045463,                   0,             0.91864,             0.82278,              0.8623,             0.35661,            0.046654,            0.015702,                   0,             0.00208,             0.00208,             0.00208,             0.35661,              0.8623
                  42,            0.037708,            0.043588,                   0,             0.91163,             0.81013,             0.84899,             0.35286,            0.046532,            0.015699,                   0,            0.001882,            0.001882,            0.001882,             0.35286,             0.84899
                  43,            0.036178,            0.040314,                   0,             0.90582,             0.81013,             0.84815,             0.31174,            0.048379,            0.015861,                   0,            0.001684,            0.001684,            0.001684,             0.31174,             0.84815
                  44,             0.03582,            0.040782,                   0,             0.92742,             0.80875,             0.84475,             0.35479,            0.045928,            0.015756,                   0,            0.001486,            0.001486,            0.001486,             0.35479,             0.84475
                  45,             0.03585,            0.044141,                   0,             0.86334,             0.83544,             0.83856,             0.33925,            0.047126,            0.015815,                   0,            0.001288,            0.001288,            0.001288,             0.33925,             0.83856
                  46,            0.034814,             0.04185,                   0,             0.91311,             0.81013,             0.83197,             0.33067,            0.048128,            0.015881,                   0,             0.00109,             0.00109,             0.00109,             0.33067,             0.83197
                  47,            0.036088,            0.043391,                   0,              0.9129,             0.79604,             0.82998,             0.33237,            0.047619,            0.015978,                   0,            0.000892,            0.000892,            0.000892,             0.33237,             0.82998
                  48,            0.034767,            0.042212,                   0,             0.91296,              0.7966,             0.82577,             0.31997,            0.048374,            0.015948,                   0,            0.000694,            0.000694,            0.000694,             0.31997,             0.82577
                  49,            0.035382,            0.043496,                   0,             0.91415,              0.8087,             0.82836,             0.32151,             0.04829,            0.015862,                   0,            0.000496,            0.000496,            0.000496,             0.32151,             0.82836
